ACM DBLP
6317 36216
7379 37623
32068 24191
21060 28123
16300 6694
10675 40494
34230 37508
15248 20960
26089 26001
30470 16328
8370 29057
27698 48585
16225 13244
857 5808
42526 15523
36794 2795
12887 3675
18402 6327
36173 31606
11491 32491
41185 35776
14416 41732
15700 36408
34417 43410
3276 23030
26300 23725
24576 26595
42873 30818
12948 9153
12069 30298
24633 34709
16735 33085
20819 537
19675 14261
3770 16841
13147 4364
35579 11476
1273 41554
17127 32423
42340 15643
28120 10458
35513 39588
26151 39831
40479 46848
36485 46409
17855 36925
34394 37192
39723 25236
21306 27873
18406 27718
25981 47339
20033 34421
2420 4952
13572 24824
30972 11869
32671 49605
11709 4611
2463 23565
14971 33753
1459 46713
2846 23975
22545 19535
10643 37085
21864 38869
9203 11856
6061 4685
41262 26127
7877 27423
7812 20230
11963 802
531 763
12394 12857
10902 15229
11321 9609
40624 34932
20894 6514
31256 18813
42936 47752
24794 32138
2824 32996
19699 6784
23829 40017
39640 29373
17103 40043
41813 42758
17039 3440
37351 47946
40976 30414
95 18411
18411 45480
21612 41940
10012 40567
3911 22174
28365 16093
25015 14352
19580 2188
28563 36889
32878 23986
25924 26100
24618 45309
17805 1246
23861 34581
20491 41871
36550 35576
31369 20953
9357 29708
31941 32602
42659 2926
25370 6623
9132 39774
271 8741
8959 46983
38287 18370
23622 21128
3861 16333
19673 43
21383 20595
24682 30183
19561 30682
27789 20665
29332 6846
2780 13625
41831 12933
13633 2924
2298 39679
14720 8476
38840 34208
17264 13588
29755 25460
29765 9164
6857 29839
932 5847
7366 2427
12613 27034
21069 46351
22539 31471
12469 18326
40498 49099
40155 37588
32015 44257
22719 16201
6766 22400
7021 49873
22962 17466
20352 42268
11237 34961
16022 47140
8703 6406
32213 16395
5209 38595
5902 37768
10323 50748
35064 29964
6891 2803
2109 28766
34285 41749
2789 28454
14738 24059
37957 38015
21442 2285
1561 38997
11203 45814
25088 42664
42663 30945
7380 37624
26485 1108
29154 42864
11889 29096
5119 8112
41058 1691
25164 14051
38468 9573
29030 45378
22419 35964
5828 160
8489 50039
2660 34505
9069 4200
10167 31758
23671 33105
42855 17596
23413 42421
23758 33244
28617 15618
17846 50469
35983 39953
17399 40602
11448 27522
22222 36272
40430 29275
20964 6464
31390 30576
23314 7002
2243 1480
22621 8904
3129 8089
24087 32747
31107 26734
12065 4573
33464 44934
6504 1017
39018 24564
22421 36938
4352 47657
20144 23791
16895 28353
22695 21936
21392 32832
